courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
01999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,,F,15.00,-,17.00,,T12/1,60,,,,,,,,,,,อ.ไพรัช สร้อยทอง,,-,,,,,,
01999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,,F,13.00,-,15.00,,T12/1,60,,,,,,,,,,,อ.ธรรมนุวัฒน์ วาลีประโคน,,-,,,,,,
03603101,03603101-60,Introduction to Computer Programming,3(2-3-6),2,2,800,M,13.00,-,15.00,,T13/1,55,1,3,830,M,16.00,-,19.00,Lab Com 23,T13/1,55,อ.กาญจนา เอี่ยมสอาด,,-,,,,,,
03603101,03603101-60,Introduction to Computer Programming,3(2-3-6),2,2,801,Tu,13.00,-,15.00,,T13/1,55,1,3,831,Tu,16.00,-,19.00,Lab Com 23,T13/1,55,ผศ.เพ็ญพรรณ ใช้ฮวดเจริญ,,-,,,,,,
03603101,03603101-60,Introduction to Computer Programming,3(2-3-6),2,2,802,Tu,8.00,-,10.00,,T17/1,60,1,3,832,Tu,10.00,-,13.00,Lab Com 2,T17/1,40,อ.ดร.ณัฐพล พันนุรัตน์,,-,,,,,,
03603101,03603101-60,Introduction to Computer Programming,3(2-3-6),2,2,803,M,16.00,-,18.00,,T17/1,60,1,3,833,Th,13.00,-,16.00,Lab Com 23,T17/1,40,อ.กาญจนา เอี่ยมสอาด,,-,,,,,,
03603101,03603101-60,Introduction to Computer Programming,3(2-3-6),2,2,400,Th,11.00,-,13.00,,T19/1,55,1,3,450,Th,13.00,-,16.00,Lab Com 2,T19/1,55,อ.ดร.ณัฐพล พันนุรัตน์,,-,,,,,,
03603111,03603111-60,Programming Fundamentals I,3(2-3-6),2,2,800,M,8.00,-,10.00,,T12/1,50,1,3,830,M,10.00,-,13.00,Lab Com 2,T12/1,50,อ.ดร.ณัฐพล พันนุรัตน์,,-,,,,,,
03603111,03603111-60,Programming Fundamentals I,3(2-3-6),2,2,801,M,13.00,-,15.00,,T12/2,50,1,3,831,Th,8.00,-,11.00,Lab Com 2,T12/2,50,อ.ดร.ณัฐพล พันนุรัตน์,,-,,,,,,
03603111,03603111-60,Programming Fundamentals I,3(2-3-6),2,2,802,M,10.00,-,12.00,,T12/1,50,1,3,832,W,9.00,-,12.00,Lab Com 2,T12/1,50,อ.ณัฎฐ์ อรุณ,,-,,,,,,
