รหัสวิชา,รหัสวิชา-พ.ศ.หลักสูตร,ชื่อวิชา,บรรยาย,,,,,,,,,,,ปฎิบัติ,,,,,,,,,,อาจารย์,,วิชาพื้นฐาน,จำนวนชั่วโมงที่จัดสอบ,การจัดสอบกลางภาค,,การจัดสอบปลายภาค,,หมายเหตุ
,,,หน่วยกิต,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,,CODE-อาจารย์-1,,,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,
1999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,812,Tu,13,,15,1408/1,T13/1,,,,,,,,,,,60,ผศ.ดร.สืบสกุล คุรุรัตน์,,,,,,,,
1999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,813,M,9,,11,17204,T13/1,,,,,,,,,,,60,ผศ.ดร.สืบสกุล คุรุรัตน์,,,,,,,,
1208111,01208111-60,Engineering Drawing,3(2-3-6),2,2,800,Tu,13,-,15,150311,T05/1,80,1,3,830,Tu,15,-,18,150311,T05/1,80,อ.ดร.รัฐพล สาครสินธุ์,,-,,,,,,
3604111,03604111-60,Engineering Drawing,3(2-3-6),2,2,800,F,8,-,10,150310,T12/1,60,1,3,830,F,10,-,13,150310,T12/1,60,อ.พุฒิพงษ์ ขุนทรง,,-,,,,,,
3604111,03604111-60,Engineering Drawing,3(2-3-6),2,2,801,F,8,-,10,150311,T12/1,80,1,3,831,F,10,-,13,150311,T12/1,80,รศ.ดร.สมพล สกุลหลง,,-,,,,,,
3604111,03604111-60,Engineering Drawing,3(2-3-6),2,2,802,W,8,-,10,150311,T14/1,80,1,3,832,W,10,-,13,150311,T14/1,80,รศ.ดร.ปรณัฐ วิสุวรรณ,,-,,,,,,
3604111,03604111-60,Engineering Drawing,3(2-3-6),2,2,803,W,8,-,10,150310,T14/1,60,1,3,833,W,10,-,13,150310,T14/1,60,ผศ.ดร.บุญธรรม วงศ์ไชย,,-,,,,,,
3604111,03604111-60,Engineering Drawing,3(2-3-6),2,2,804,F,13,-,15,150311,T17/1,80,1,3,834,F,15,-,18,150311,T17/1,80,รศ.ดร.ปรณัฐ วิสุวรรณ,,-,,,,,,
3604111,03604111-60,Engineering Drawing,3(2-3-6),2,2,805,W,14,-,16,150310,T17/1,60,1,3,835,W,16,-,19,150310,T17/1,60,อ.ดร.รัฐพล สาครสินธุ์,,-,,,,,,
