courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
01999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,,M,10.00,-,12.00,,T14/1,55,,,,,,,,,,,ผศ.ดร. ศิริชัย วัฒนาโสภณ,,-,,,,,,,
01999111,01999111-60,Knowledge of the Land,2(2-0-4),2,2,,M,13.00,-,15.00,,T14/1,55,,,,,,,,,,,ผศ.ดร.สาริณี อุ่ยตระกูล,,-,,,,,,,
03601201,03601201-60,Introduction to Electrical Engineering,3(3-0-6),3,3,800,M,13.00,-,16.00,,"T13/2,3",100,,,,,,,,,,,ดร.ชัยฤกษ์ จักรพัฒนจิต,,-,,,,,,,
03601201,03601201-60,Introduction to Electrical Engineering,3(3-0-6),3,3,801,Tu,9.00,-,12.00,,"T17/2,3",100,,,,,,,,,,,ผศ.ดร. อุมารินทร์ แสงพานิช,,-,,,,,,,
03601202,03601202-60,Electrical Engineering Laboratory,1(0-3-2),,,,,,,,,,,1,3,890,F,13.00,-,16.00,Lab EE,"T18/3,4",18,ผศ.ดร.นาตยา คล้ายเรือง,,03601201,,,,,,,
03601202,03601202-60,Electrical Engineering Laboratory,1(0-3-2),,,,,,,,,,,1,3,891,F,13.00,-,16.00,Lab EE,"T18/3,4",18,อ.ดร.ณัฐพล บุณยภักดี,,03601201,,,,,,,
03601204,03601204-60,Electric Circuit Analysis for Computer Engineers,3(3-0-6),3,3,800,Tu,13.00,-,16.00,,"T12/2,3,4",120,,,,,,,,,,,ดร. วสันต์ ตันเจริญ,,-,,,,,,,
03601303,03601303-60,Electronics Laboratory for Computer Engineers,1(0-3-2),,,,,,,,,,,1,3,830,M,13.00,-,16.00,Lab EE,T12/3,20,รศ.ดร.ไพโรจน์ ทองประศรี,,03601203,,,,,,,
03601303,03601303-60,Electronics Laboratory for Computer Engineers,1(0-3-2),,,,,,,,,,,1,3,831,Tu,9.00,-,12.00,Lab EE,T12/3,20,อ.ดร.ณัฐพล บุณยภักดี,,03601203,,,,,,,
03601303,03601303-60,Electronics Laboratory for Computer Engineers,1(0-3-2),,,,,,,,,,,1,3,832,Tu,13.00,-,16.00,Lab EE,T12/3,20,อ.ดร.ณัฐพล บุณยภักดี,,03601203,,,,,,,
03601303,03601303-60,Electronics Laboratory for Computer Engineers,1(0-3-2),,,,,,,,,,,1,3,833,F,9.00,-,12.00,Lab EE,T12/3,20,รศ.ดร.ไพโรจน์ ทองประศรี,,03601203,,,,,,,
03601211,03601211-60,Electric Circuit Analysis I,3(3-0-6),3,3,800,W,9.00,-,12.00,,"T14/2,3",110,,,,,,,,,,,ผศ.ดร.นาตยา คล้ายเรือง,,-,,,,,,,
03601212,03601212-60,Electric Circuit Analysis II,3(3-0-6),3,3,800,F,9.00,-,12.00,,"T14/3,4",50,,,,,,,,,,,รศ.ดร. เกียรติยุทธ กวีญาณ,,03601211,,,,,,,
03601214,03601214-60,Applied Linear Algebra in Electrical Engineering,3(3-0-6),3,3,800,M,9.00,-,12.00,,"T14/2,3",110,,,,,,,,,,,อ.ดร.ณัฐพล บุณยภักดี,,-,,,,,,,
03601215,03601215-60,Applied Probability for Electrical Engineers,3(3-0-6),3,3,800,W,13.00,-,16.00,,"T14/2,3",110,,,,,,,,,,,ดร.ชัยฤกษ์ จักรพัฒนจิต,,01417168,,,,,,,
